fecha,pedido,categoria,producto,region,canal,envio,unidades,importe,dias_entrega
2026-02-17,MER-100279,Ropa,Camiseta de algodón orgánico,Ciudad de México,App móvil,Estándar,2,798,5
2026-02-17,MER-100311,Ropa,Chamarra ligera impermeable,Puebla,Web,Estándar,1,1690,4
2026-02-19,MER-100007,Accesorios,Mochila para laptop impermeable,Ciudad de México,Marketplace,Estándar,2,2580,5
2026-02-19,MER-100372,Ropa,Sudadera con capucha,Baja California,Web,Exprés,2,1798,1
2026-02-19,MER-100406,Electrónica,Laptop Meridia Pro 14,Nuevo León,App móvil,Estándar,1,24990,5
2026-02-20,MER-100127,Accesorios,Funda protectora para laptop,Yucatán,App móvil,Exprés,2,980,2
2026-02-20,MER-100310,Hogar,Silla ergonómica de oficina,Yucatán,App móvil,Exprés,2,10980,1
2026-02-20,MER-100313,Ropa,Camiseta de algodón orgánico,Jalisco,Web,Estándar,1,399,5
2026-02-21,MER-100253,Hogar,Silla ergonómica de oficina,Baja California,Web,Estándar,2,10980,4
2026-02-21,MER-100376,Accesorios,Funda protectora para laptop,Puebla,App móvil,Estándar,1,490,5
2026-02-21,MER-100381,Ropa,Sudadera con capucha,Puebla,Marketplace,Exprés,2,1798,1
2026-02-21,MER-100411,Ropa,Camiseta de algodón orgánico,Yucatán,Marketplace,Estándar,3,1197,3
2026-02-23,MER-100212,Ropa,Chamarra ligera impermeable,Nuevo León,App móvil,Exprés,2,3380,1
2026-02-24,MER-100287,Ropa,Chamarra ligera impermeable,Nuevo León,Marketplace,Estándar,1,1690,3
2026-02-25,MER-100092,Electrónica,Teclado mecánico retroiluminado,Ciudad de México,Web,Estándar,2,3780,5
2026-02-25,MER-100393,Electrónica,Monitor curvo 27 pulgadas,Puebla,App móvil,Estándar,2,12980,4
2026-02-27,MER-100143,Accesorios,Mochila para laptop impermeable,Puebla,Web,Estándar,1,1290,3
2026-02-27,MER-100176,Ropa,Chamarra ligera impermeable,Yucatán,App móvil,Estándar,1,1690,4
2026-02-28,MER-100040,Accesorios,Funda protectora para laptop,Yucatán,App móvil,Exprés,1,490,1
2026-02-28,MER-100314,Hogar,Silla ergonómica de oficina,Ciudad de México,Marketplace,Estándar,2,10980,6
2026-03-02,MER-100147,Accesorios,Funda protectora para laptop,Puebla,Marketplace,Estándar,2,980,3
2026-03-03,MER-100107,Ropa,Chamarra ligera impermeable,Nuevo León,Web,Estándar,2,3380,3
2026-03-03,MER-100251,Electrónica,Teclado mecánico retroiluminado,Yucatán,Web,Estándar,3,5670,4
2026-03-05,MER-100011,Electrónica,Laptop Meridia Pro 14,Ciudad de México,Marketplace,Estándar,2,49980,6
2026-03-06,MER-100097,Ropa,Sudadera con capucha,Puebla,App móvil,Exprés,2,1798,2
2026-03-06,MER-100286,Electrónica,Monitor curvo 27 pulgadas,Puebla,Web,Estándar,3,19470,4
2026-03-06,MER-100303,Electrónica,Teclado mecánico retroiluminado,Nuevo León,Marketplace,Estándar,2,3780,6
2026-03-07,MER-100058,Ropa,Sudadera con capucha,Ciudad de México,App móvil,Estándar,1,899,5
2026-03-08,MER-100088,Ropa,Camiseta de algodón orgánico,Baja California,Web,Estándar,2,798,6
2026-03-08,MER-100360,Ropa,Chamarra ligera impermeable,Ciudad de México,Marketplace,Estándar,2,3380,3
2026-03-09,MER-100090,Accesorios,Cargador USB-C de 65 W,Jalisco,Marketplace,Estándar,1,790,3
2026-03-09,MER-100214,Hogar,Cafetera de goteo programable,Ciudad de México,Marketplace,Estándar,1,1490,4
2026-03-10,MER-100144,Hogar,Silla ergonómica de oficina,Jalisco,App móvil,Estándar,1,5490,4
2026-03-10,MER-100236,Hogar,Escritorio elevable,Nuevo León,Web,Mismo día,1,8990,0
2026-03-10,MER-100346,Accesorios,Cargador USB-C de 65 W,Baja California,App móvil,Estándar,3,2370,4
2026-03-11,MER-100243,Hogar,Lámpara de escritorio LED,Baja California,Marketplace,Exprés,1,890,1
2026-03-12,MER-100338,Electrónica,Audífonos con cancelación de ruido,Jalisco,Web,Mismo día,2,7980,0
2026-03-13,MER-100178,Hogar,Cafetera de goteo programable,Ciudad de México,App móvil,Estándar,1,1490,6
2026-03-13,MER-100273,Accesorios,Cargador USB-C de 65 W,Baja California,Web,Estándar,1,790,4
2026-03-14,MER-100049,Hogar,Cafetera de goteo programable,Yucatán,Web,Estándar,1,1490,5
2026-03-16,MER-100185,Ropa,Chamarra ligera impermeable,Ciudad de México,Web,Estándar,3,5070,5
2026-03-16,MER-100186,Accesorios,Mochila para laptop impermeable,Nuevo León,Web,Estándar,2,2580,6
2026-03-16,MER-100415,Hogar,Silla ergonómica de oficina,Baja California,App móvil,Exprés,1,5490,1
2026-03-17,MER-100060,Hogar,Silla ergonómica de oficina,Ciudad de México,Marketplace,Exprés,1,5490,2
2026-03-17,MER-100239,Electrónica,Teclado mecánico retroiluminado,Yucatán,Marketplace,Estándar,2,3780,4
2026-03-17,MER-100268,Ropa,Camiseta de algodón orgánico,Puebla,Marketplace,Estándar,3,1197,4
2026-03-18,MER-100350,Hogar,Cafetera de goteo programable,Ciudad de México,Marketplace,Estándar,1,1490,6
2026-03-19,MER-100129,Electrónica,Audífonos con cancelación de ruido,Baja California,Web,Estándar,1,3990,3
2026-03-19,MER-100319,Electrónica,Audífonos con cancelación de ruido,Yucatán,Web,Mismo día,2,7980,0
2026-03-20,MER-100171,Electrónica,Monitor curvo 27 pulgadas,Puebla,Web,Mismo día,2,12980,0
2026-03-21,MER-100014,Ropa,Sudadera con capucha,Puebla,App móvil,Estándar,1,899,3
2026-03-21,MER-100388,Electrónica,Audífonos con cancelación de ruido,Yucatán,App móvil,Estándar,1,3990,5
2026-03-23,MER-100152,Accesorios,Mochila para laptop impermeable,Jalisco,App móvil,Estándar,2,2580,6
2026-03-23,MER-100275,Accesorios,Mochila para laptop impermeable,Jalisco,Web,Estándar,3,3870,6
2026-03-23,MER-100333,Hogar,Escritorio elevable,Nuevo León,Marketplace,Estándar,1,8990,5
2026-03-24,MER-100337,Hogar,Silla ergonómica de oficina,Jalisco,App móvil,Exprés,1,5490,1
2026-03-25,MER-100101,Accesorios,Cargador USB-C de 65 W,Nuevo León,Marketplace,Estándar,1,790,4
2026-03-26,MER-100276,Hogar,Escritorio elevable,Nuevo León,Web,Estándar,2,17980,6
2026-03-27,MER-100031,Electrónica,Teclado mecánico retroiluminado,Puebla,App móvil,Exprés,1,1890,1
2026-03-30,MER-100193,Hogar,Cafetera de goteo programable,Nuevo León,App móvil,Estándar,2,2980,3
2026-03-31,MER-100207,Accesorios,Cargador USB-C de 65 W,Jalisco,Marketplace,Exprés,1,790,1
2026-03-31,MER-100342,Ropa,Chamarra ligera impermeable,Yucatán,Marketplace,Estándar,1,1690,6
2026-04-01,MER-100130,Hogar,Lámpara de escritorio LED,Baja California,Marketplace,Estándar,2,1780,6
2026-04-03,MER-100021,Hogar,Cafetera de goteo programable,Yucatán,Web,Exprés,2,2980,2
2026-04-03,MER-100166,Electrónica,Teclado mecánico retroiluminado,Baja California,Marketplace,Estándar,1,1890,6
2026-04-04,MER-100142,Hogar,Cafetera de goteo programable,Nuevo León,Marketplace,Estándar,1,1490,6
2026-04-04,MER-100206,Ropa,Chamarra ligera impermeable,Puebla,App móvil,Estándar,1,1690,5
2026-04-04,MER-100210,Hogar,Escritorio elevable,Ciudad de México,Marketplace,Estándar,2,17980,4
2026-04-06,MER-100000,Hogar,Cafetera de goteo programable,Yucatán,Marketplace,Estándar,3,4470,6
2026-04-08,MER-100300,Accesorios,Mochila para laptop impermeable,Yucatán,App móvil,Estándar,1,1290,6
2026-04-09,MER-100262,Ropa,Chamarra ligera impermeable,Yucatán,App móvil,Exprés,1,1690,2
2026-04-10,MER-100118,Ropa,Sudadera con capucha,Nuevo León,Web,Estándar,2,1798,3
2026-04-11,MER-100192,Ropa,Sudadera con capucha,Puebla,App móvil,Estándar,2,1798,3
2026-04-12,MER-100224,Hogar,Lámpara de escritorio LED,Ciudad de México,Marketplace,Estándar,1,890,5
2026-04-15,MER-100327,Electrónica,Teclado mecánico retroiluminado,Nuevo León,Marketplace,Exprés,1,1890,2
2026-04-16,MER-100042,Hogar,Silla ergonómica de oficina,Puebla,Web,Mismo día,3,16470,0
2026-04-17,MER-100187,Electrónica,Monitor curvo 27 pulgadas,Nuevo León,Web,Exprés,1,6490,1
2026-04-18,MER-100128,Hogar,Silla ergonómica de oficina,Baja California,Web,Estándar,1,5490,5
2026-04-19,MER-100169,Electrónica,Laptop Meridia Pro 14,Yucatán,Marketplace,Estándar,1,24990,3
2026-04-20,MER-100232,Hogar,Escritorio elevable,Puebla,Marketplace,Estándar,3,26970,5
2026-04-20,MER-100250,Hogar,Lámpara de escritorio LED,Yucatán,Web,Estándar,2,1780,6
2026-04-21,MER-100174,Hogar,Escritorio elevable,Jalisco,Marketplace,Exprés,1,8990,1
2026-04-21,MER-100399,Accesorios,Mochila para laptop impermeable,Ciudad de México,Web,Estándar,3,3870,3
2026-04-22,MER-100351,Electrónica,Monitor curvo 27 pulgadas,Ciudad de México,Marketplace,Exprés,3,19470,2
2026-04-23,MER-100047,Electrónica,Laptop Meridia Pro 14,Puebla,Web,Exprés,1,24990,2
2026-04-23,MER-100106,Electrónica,Laptop Meridia Pro 14,Nuevo León,Web,Exprés,1,24990,2
2026-04-24,MER-100254,Hogar,Cafetera de goteo programable,Jalisco,Marketplace,Estándar,1,1490,3
2026-04-25,MER-100035,Ropa,Camiseta de algodón orgánico,Baja California,App móvil,Exprés,2,798,1
2026-04-25,MER-100197,Ropa,Camiseta de algodón orgánico,Ciudad de México,App móvil,Exprés,1,399,2
2026-04-26,MER-100002,Ropa,Camiseta de algodón orgánico,Jalisco,App móvil,Estándar,3,1197,5
2026-04-26,MER-100104,Accesorios,Funda protectora para laptop,Ciudad de México,Web,Exprés,1,490,2
2026-04-26,MER-100165,Accesorios,Mochila para laptop impermeable,Ciudad de México,App móvil,Estándar,2,2580,5
2026-04-29,MER-100377,Ropa,Camiseta de algodón orgánico,Yucatán,Web,Estándar,1,399,4
2026-04-29,MER-100387,Accesorios,Funda protectora para laptop,Puebla,Web,Estándar,2,980,4
2026-04-30,MER-100255,Hogar,Escritorio elevable,Yucatán,Marketplace,Estándar,2,17980,3
2026-05-02,MER-100026,Electrónica,Laptop Meridia Pro 14,Puebla,Marketplace,Estándar,1,24990,5
2026-05-02,MER-100098,Accesorios,Cargador USB-C de 65 W,Nuevo León,Marketplace,Estándar,1,790,3
2026-05-02,MER-100260,Ropa,Camiseta de algodón orgánico,Baja California,Web,Estándar,1,399,5
2026-05-02,MER-100301,Ropa,Chamarra ligera impermeable,Jalisco,App móvil,Mismo día,2,3380,0
2026-05-02,MER-100401,Electrónica,Monitor curvo 27 pulgadas,Baja California,Marketplace,Estándar,2,12980,3
2026-05-03,MER-100249,Electrónica,Laptop Meridia Pro 14,Ciudad de México,Web,Estándar,2,49980,6
2026-05-03,MER-100257,Hogar,Escritorio elevable,Ciudad de México,App móvil,Mismo día,1,8990,0
2026-05-03,MER-100339,Ropa,Sudadera con capucha,Ciudad de México,Web,Estándar,2,1798,5
2026-05-04,MER-100343,Accesorios,Mochila para laptop impermeable,Baja California,Marketplace,Estándar,1,1290,5
2026-05-04,MER-100371,Electrónica,Teclado mecánico retroiluminado,Jalisco,App móvil,Estándar,2,3780,3
2026-05-05,MER-100340,Accesorios,Funda protectora para laptop,Baja California,Web,Estándar,2,980,6
2026-05-06,MER-100385,Hogar,Silla ergonómica de oficina,Jalisco,Marketplace,Estándar,1,5490,3
2026-05-07,MER-100023,Hogar,Cafetera de goteo programable,Jalisco,Web,Exprés,1,1490,2
2026-05-08,MER-100043,Accesorios,Mochila para laptop impermeable,Nuevo León,App móvil,Estándar,1,1290,3
2026-05-08,MER-100322,Accesorios,Mochila para laptop impermeable,Puebla,App móvil,Estándar,1,1290,4
2026-05-08,MER-100345,Electrónica,Audífonos con cancelación de ruido,Puebla,Marketplace,Estándar,2,7980,6
2026-05-09,MER-100245,Hogar,Cafetera de goteo programable,Jalisco,Marketplace,Exprés,2,2980,1
2026-05-10,MER-100226,Ropa,Sudadera con capucha,Jalisco,App móvil,Exprés,2,1798,2
2026-05-11,MER-100215,Hogar,Lámpara de escritorio LED,Jalisco,Marketplace,Estándar,2,1780,6
2026-05-12,MER-100177,Hogar,Lámpara de escritorio LED,Nuevo León,Marketplace,Exprés,2,1780,2
2026-05-14,MER-100117,Accesorios,Funda protectora para laptop,Ciudad de México,Web,Estándar,2,980,3
2026-05-14,MER-100164,Electrónica,Audífonos con cancelación de ruido,Nuevo León,Marketplace,Estándar,1,3990,6
2026-05-14,MER-100362,Electrónica,Monitor curvo 27 pulgadas,Jalisco,Marketplace,Estándar,2,12980,3
2026-05-14,MER-100386,Hogar,Cafetera de goteo programable,Ciudad de México,App móvil,Estándar,1,1490,5
2026-05-15,MER-100018,Hogar,Lámpara de escritorio LED,Puebla,Web,Exprés,2,1780,1
2026-05-15,MER-100134,Electrónica,Laptop Meridia Pro 14,Baja California,Marketplace,Estándar,2,49980,3
2026-05-16,MER-100089,Ropa,Sudadera con capucha,Jalisco,App móvil,Estándar,1,899,3
2026-05-16,MER-100354,Electrónica,Monitor curvo 27 pulgadas,Nuevo León,App móvil,Estándar,2,12980,3
2026-05-16,MER-100363,Ropa,Chamarra ligera impermeable,Jalisco,Web,Exprés,2,3380,2
2026-05-17,MER-100003,Hogar,Silla ergonómica de oficina,Jalisco,App móvil,Estándar,2,10980,3
2026-05-19,MER-100050,Electrónica,Monitor curvo 27 pulgadas,Puebla,Web,Estándar,1,6490,6
2026-05-20,MER-100222,Ropa,Chamarra ligera impermeable,Baja California,App móvil,Estándar,1,1690,5
2026-05-20,MER-100316,Electrónica,Monitor curvo 27 pulgadas,Puebla,App móvil,Exprés,1,6490,1
2026-05-21,MER-100139,Ropa,Sudadera con capucha,Nuevo León,Marketplace,Estándar,1,899,4
2026-05-22,MER-100112,Hogar,Cafetera de goteo programable,Puebla,App móvil,Estándar,1,1490,5
2026-05-23,MER-100317,Hogar,Lámpara de escritorio LED,Baja California,App móvil,Estándar,2,1780,5
2026-05-24,MER-100044,Hogar,Lámpara de escritorio LED,Yucatán,Marketplace,Estándar,3,2670,5
2026-05-25,MER-100264,Electrónica,Teclado mecánico retroiluminado,Nuevo León,App móvil,Estándar,1,1890,6
2026-05-25,MER-100391,Hogar,Lámpara de escritorio LED,Jalisco,App móvil,Estándar,2,1780,5
2026-05-25,MER-100416,Electrónica,Monitor curvo 27 pulgadas,Baja California,Web,Estándar,1,6490,3
2026-05-30,MER-100403,Hogar,Cafetera de goteo programable,Baja California,App móvil,Estándar,1,1490,5
2026-05-31,MER-100261,Accesorios,Cargador USB-C de 65 W,Jalisco,Web,Exprés,1,790,1
2026-06-01,MER-100288,Hogar,Escritorio elevable,Nuevo León,Marketplace,Exprés,1,8990,2
2026-06-02,MER-100087,Ropa,Chamarra ligera impermeable,Ciudad de México,Marketplace,Exprés,2,3380,1
2026-06-02,MER-100120,Hogar,Lámpara de escritorio LED,Nuevo León,Web,Exprés,3,2670,1
2026-06-02,MER-100145,Electrónica,Audífonos con cancelación de ruido,Nuevo León,Marketplace,Exprés,3,11970,1
2026-06-02,MER-100227,Electrónica,Teclado mecánico retroiluminado,Nuevo León,App móvil,Exprés,1,1890,2
2026-06-02,MER-100305,Hogar,Lámpara de escritorio LED,Baja California,Marketplace,Exprés,2,1780,1
2026-06-03,MER-100135,Electrónica,Monitor curvo 27 pulgadas,Nuevo León,App móvil,Estándar,1,6490,3
2026-06-03,MER-100244,Electrónica,Teclado mecánico retroiluminado,Baja California,Web,Estándar,1,1890,5
2026-06-05,MER-100079,Accesorios,Mochila para laptop impermeable,Yucatán,Web,Estándar,1,1290,6
2026-06-05,MER-100384,Hogar,Cafetera de goteo programable,Baja California,App móvil,Estándar,3,4470,4
2026-06-09,MER-100181,Hogar,Escritorio elevable,Puebla,Marketplace,Exprés,1,8990,1
2026-06-10,MER-100045,Ropa,Sudadera con capucha,Puebla,App móvil,Estándar,2,1798,5
2026-06-10,MER-100048,Ropa,Chamarra ligera impermeable,Yucatán,App móvil,Exprés,3,5070,2
2026-06-11,MER-100414,Electrónica,Teclado mecánico retroiluminado,Ciudad de México,App móvil,Estándar,1,1890,6
2026-06-12,MER-100270,Hogar,Cafetera de goteo programable,Ciudad de México,Marketplace,Exprés,1,1490,2
2026-06-13,MER-100280,Hogar,Lámpara de escritorio LED,Jalisco,App móvil,Estándar,2,1780,4
2026-06-14,MER-100170,Accesorios,Mochila para laptop impermeable,Nuevo León,Web,Exprés,2,2580,1
2026-06-17,MER-100013,Hogar,Escritorio elevable,Puebla,Marketplace,Estándar,2,17980,4
2026-06-17,MER-100071,Ropa,Chamarra ligera impermeable,Yucatán,App móvil,Estándar,3,5070,5
2026-06-18,MER-100024,Electrónica,Teclado mecánico retroiluminado,Yucatán,Web,Estándar,2,3780,5
2026-06-18,MER-100389,Accesorios,Cargador USB-C de 65 W,Yucatán,Web,Estándar,1,790,4
2026-06-19,MER-100308,Hogar,Escritorio elevable,Jalisco,Marketplace,Mismo día,2,17980,0
2026-06-20,MER-100149,Electrónica,Audífonos con cancelación de ruido,Baja California,Web,Estándar,3,11970,6
2026-06-22,MER-100055,Accesorios,Funda protectora para laptop,Baja California,Marketplace,Estándar,1,490,3
2026-06-22,MER-100344,Ropa,Sudadera con capucha,Ciudad de México,App móvil,Estándar,2,1798,6
2026-06-23,MER-100263,Ropa,Camiseta de algodón orgánico,Baja California,App móvil,Exprés,1,399,2
2026-06-24,MER-100029,Electrónica,Teclado mecánico retroiluminado,Yucatán,Web,Estándar,2,3780,3
2026-06-24,MER-100051,Hogar,Escritorio elevable,Baja California,App móvil,Estándar,3,26970,5
2026-06-24,MER-100059,Hogar,Escritorio elevable,Jalisco,App móvil,Estándar,1,8990,6
2026-06-24,MER-100282,Electrónica,Audífonos con cancelación de ruido,Ciudad de México,Web,Estándar,1,3990,6
2026-06-24,MER-100309,Ropa,Sudadera con capucha,Ciudad de México,Marketplace,Estándar,1,899,4
2026-06-25,MER-100267,Electrónica,Audífonos con cancelación de ruido,Yucatán,Web,Estándar,1,3990,4
2026-06-26,MER-100105,Hogar,Cafetera de goteo programable,Puebla,Marketplace,Estándar,1,1490,4
2026-06-27,MER-100056,Hogar,Silla ergonómica de oficina,Jalisco,Marketplace,Estándar,2,10980,4
2026-06-27,MER-100364,Electrónica,Laptop Meridia Pro 14,Jalisco,Marketplace,Estándar,1,24990,5
2026-06-29,MER-100304,Electrónica,Teclado mecánico retroiluminado,Puebla,App móvil,Estándar,3,5670,5
2026-06-30,MER-100180,Ropa,Camiseta de algodón orgánico,Nuevo León,Marketplace,Exprés,1,399,2
2026-07-01,MER-100334,Accesorios,Cargador USB-C de 65 W,Puebla,Marketplace,Estándar,3,2370,6
2026-07-03,MER-100183,Hogar,Cafetera de goteo programable,Yucatán,Marketplace,Mismo día,1,1490,0
2026-07-04,MER-100325,Ropa,Chamarra ligera impermeable,Jalisco,App móvil,Estándar,2,3380,3
2026-07-05,MER-100025,Hogar,Silla ergonómica de oficina,Jalisco,Web,Estándar,2,10980,3
2026-07-06,MER-100080,Accesorios,Funda protectora para laptop,Puebla,Web,Exprés,1,490,2
2026-07-08,MER-100028,Accesorios,Cargador USB-C de 65 W,Puebla,Marketplace,Estándar,1,790,3
2026-07-09,MER-100198,Ropa,Chamarra ligera impermeable,Ciudad de México,Web,Estándar,1,1690,4
2026-07-10,MER-100332,Accesorios,Cargador USB-C de 65 W,Nuevo León,App móvil,Estándar,2,1580,5
2026-07-11,MER-100410,Hogar,Cafetera de goteo programable,Nuevo León,Marketplace,Estándar,1,1490,6
2026-07-12,MER-100240,Accesorios,Mochila para laptop impermeable,Jalisco,Web,Estándar,3,3870,5
2026-07-12,MER-100256,Hogar,Cafetera de goteo programable,Baja California,Marketplace,Mismo día,1,1490,0
2026-07-13,MER-100084,Ropa,Chamarra ligera impermeable,Nuevo León,Web,Exprés,2,3380,2
2026-07-14,MER-100030,Hogar,Silla ergonómica de oficina,Puebla,Web,Estándar,1,5490,5
2026-07-14,MER-100141,Electrónica,Laptop Meridia Pro 14,Puebla,Marketplace,Estándar,1,24990,4
2026-07-16,MER-100099,Hogar,Cafetera de goteo programable,Ciudad de México,Marketplace,Estándar,1,1490,6
2026-07-16,MER-100312,Ropa,Camiseta de algodón orgánico,Jalisco,Marketplace,Exprés,2,798,2
2026-07-17,MER-100038,Electrónica,Audífonos con cancelación de ruido,Puebla,Web,Exprés,2,7980,2
2026-07-17,MER-100179,Electrónica,Audífonos con cancelación de ruido,Puebla,Web,Estándar,1,3990,3
2026-07-18,MER-100258,Hogar,Escritorio elevable,Yucatán,Marketplace,Estándar,2,17980,5
2026-07-20,MER-100233,Accesorios,Mochila para laptop impermeable,Nuevo León,Web,Exprés,3,3870,2
2026-07-23,MER-100417,Hogar,Silla ergonómica de oficina,Jalisco,App móvil,Estándar,1,5490,4
2026-07-24,MER-100046,Electrónica,Teclado mecánico retroiluminado,Nuevo León,Web,Estándar,2,3780,6
2026-07-24,MER-100136,Hogar,Lámpara de escritorio LED,Nuevo León,Marketplace,Estándar,3,2670,5
2026-07-26,MER-100151,Electrónica,Laptop Meridia Pro 14,Nuevo León,Web,Estándar,1,24990,5
2026-07-26,MER-100162,Accesorios,Mochila para laptop impermeable,Jalisco,App móvil,Estándar,1,1290,4
2026-07-26,MER-100218,Hogar,Cafetera de goteo programable,Ciudad de México,Marketplace,Estándar,2,2980,5
2026-07-26,MER-100292,Accesorios,Cargador USB-C de 65 W,Puebla,App móvil,Estándar,3,2370,6
2026-07-27,MER-100161,Electrónica,Monitor curvo 27 pulgadas,Baja California,Web,Exprés,3,19470,2
2026-07-27,MER-100172,Hogar,Lámpara de escritorio LED,Yucatán,App móvil,Mismo día,1,890,0
2026-07-28,MER-100281,Accesorios,Mochila para laptop impermeable,Nuevo León,Web,Exprés,2,2580,2
2026-07-30,MER-100115,Accesorios,Funda protectora para laptop,Jalisco,Web,Estándar,2,980,6
2026-07-30,MER-100347,Ropa,Sudadera con capucha,Puebla,Web,Estándar,1,899,4
2026-08-01,MER-100405,Electrónica,Monitor curvo 27 pulgadas,Jalisco,App móvil,Estándar,1,6490,3
2026-08-02,MER-100299,Hogar,Silla ergonómica de oficina,Puebla,Marketplace,Estándar,1,5490,3
2026-08-03,MER-100173,Accesorios,Mochila para laptop impermeable,Baja California,Web,Exprés,1,1290,1
2026-08-04,MER-100188,Electrónica,Monitor curvo 27 pulgadas,Nuevo León,Web,Estándar,2,12980,3
2026-08-05,MER-100085,Ropa,Camiseta de algodón orgánico,Baja California,Marketplace,Exprés,1,399,2
2026-08-08,MER-100121,Accesorios,Funda protectora para laptop,Ciudad de México,Web,Estándar,1,490,3
2026-08-09,MER-100095,Hogar,Escritorio elevable,Baja California,Marketplace,Exprés,2,17980,1
2026-08-10,MER-100131,Hogar,Escritorio elevable,Puebla,Web,Estándar,3,26970,5
2026-08-10,MER-100140,Accesorios,Mochila para laptop impermeable,Baja California,App móvil,Estándar,3,3870,6
