fecha_solicitud,pedido,categoria,producto,motivo,importe_reembolsado,dias_resolucion
2026-07-14,MER-100080,Accesorios,Funda protectora para laptop,Producto defectuoso,490,4
2026-07-19,MER-100312,Ropa,Camiseta de algodón orgánico,Producto defectuoso,798,12
2026-07-20,MER-100141,Electrónica,Laptop Meridia Pro 14,Producto equivocado,24990,11
2026-07-22,MER-100025,Hogar,Silla ergonómica de oficina,Talla incorrecta,10980,9
2026-07-22,MER-100410,Hogar,Cafetera de goteo programable,Talla incorrecta,1490,12
2026-08-10,MER-100115,Accesorios,Funda protectora para laptop,Talla incorrecta,980,11
2026-08-15,MER-100405,Electrónica,Monitor curvo 27 pulgadas,Dañado en tránsito,6490,7
2026-08-19,MER-100281,Accesorios,Mochila para laptop impermeable,Producto equivocado,2580,9
2026-08-23,MER-100347,Ropa,Sudadera con capucha,Producto defectuoso,899,10
2026-08-26,MER-100292,Accesorios,Cargador USB-C de 65 W,Arrepentimiento,2370,12
2026-08-26,MER-100085,Ropa,Camiseta de algodón orgánico,Talla incorrecta,399,7
2026-09-05,MER-100122,Accesorios,Mochila para laptop impermeable,Talla incorrecta,2580,5
2026-09-06,MER-100061,Accesorios,Funda protectora para laptop,Arrepentimiento,490,8
2026-09-11,MER-100160,Electrónica,Monitor curvo 27 pulgadas,Talla incorrecta,6490,4
2026-09-14,MER-100283,Hogar,Silla ergonómica de oficina,Producto equivocado,10980,12
2026-09-19,MER-100123,Ropa,Chamarra ligera impermeable,Producto defectuoso,3380,7
2026-09-20,MER-100182,Electrónica,Teclado mecánico retroiluminado,Arrepentimiento,3780,6
2026-09-21,MER-100008,Electrónica,Laptop Meridia Pro 14,Producto equivocado,49980,3
2026-09-24,MER-100154,Hogar,Escritorio elevable,Arrepentimiento,17980,5
2026-09-26,MER-100248,Electrónica,Teclado mecánico retroiluminado,Producto equivocado,1890,10
2026-09-27,MER-100382,Electrónica,Audífonos con cancelación de ruido,Producto defectuoso,7980,9
2026-10-04,MER-100220,Electrónica,Teclado mecánico retroiluminado,Talla incorrecta,3780,8
2026-10-05,MER-100328,Accesorios,Cargador USB-C de 65 W,Arrepentimiento,790,10
2026-10-05,MER-100331,Electrónica,Audífonos con cancelación de ruido,Dañado en tránsito,3990,4
2026-10-15,MER-100341,Electrónica,Audífonos con cancelación de ruido,Dañado en tránsito,7980,6
2026-11-09,MER-100126,Ropa,Sudadera con capucha,Dañado en tránsito,899,6
2026-11-11,MER-100208,Electrónica,Laptop Meridia Pro 14,Producto defectuoso,49980,8
2026-11-13,MER-100015,Accesorios,Funda protectora para laptop,Producto defectuoso,980,11
2026-11-16,MER-100295,Hogar,Lámpara de escritorio LED,Producto defectuoso,1780,6
2026-11-19,MER-100005,Ropa,Chamarra ligera impermeable,Producto defectuoso,3380,8
2026-11-21,MER-100001,Hogar,Cafetera de goteo programable,Producto defectuoso,1490,8
2026-11-24,MER-100329,Electrónica,Audífonos con cancelación de ruido,Dañado en tránsito,7980,6
2026-11-28,MER-100265,Electrónica,Laptop Meridia Pro 14,Producto equivocado,24990,9
2026-11-29,MER-100216,Accesorios,Cargador USB-C de 65 W,Producto defectuoso,2370,9
2026-11-29,MER-100395,Accesorios,Mochila para laptop impermeable,Producto equivocado,1290,7
2026-12-06,MER-100366,Electrónica,Audífonos con cancelación de ruido,Producto equivocado,7980,5
2026-12-17,MER-100252,Electrónica,Teclado mecánico retroiluminado,Talla incorrecta,1890,10
2026-12-23,MER-100096,Accesorios,Cargador USB-C de 65 W,Arrepentimiento,1580,7
2027-01-03,MER-100219,Accesorios,Mochila para laptop impermeable,Producto defectuoso,1290,10
2027-01-06,MER-100027,Ropa,Chamarra ligera impermeable,Producto defectuoso,1690,4
2027-01-26,MER-100318,Hogar,Lámpara de escritorio LED,Talla incorrecta,2670,10
